#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-06T20:02:37 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-06T20:02:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAN%2F336%2F70%2Ftable1&-out=_RA,_DE,HRV,e_HRV,GCVS&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113360070
#Name: J/AN/336/70
#Title: Velocities and proper motions of Galactic Cepheids (Mel'nik+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	creator=Mel&apos;nik A.M.	    First author or institution
#INFO	cites=bibcode:2015AN....336...70M	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/336/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.113360070	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_336_70_table1:
#Name: J/AN/336/70/table1
#Title: Data for 674 classical Cepheids
#Column	_RA	(F9.5)	Positions from Simbad, or from ASAS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad, or from ASAS name (declination part)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(F6.1)	[-126/126]? Heliocentric Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	[0.1/10]? rms uncertainty in HRV	[ucd=stat.error]
#Column	GCVS	(A9)	GCVS Identification	[ucd=meta.id;meta.main]
_RA	_DE	HRV	e_HRV	GCVS
279.51379	-08.36894	  12.3	 1.0	Y     Sct
280.73862	-05.82089	  37.2	 1.0	Z     Sct
280.48492	-04.11067	  -5.0	 0.3	RU    Sct
280.93129	-07.73108	  -8.6	 1.0	SS    Sct
280.53300	-04.29347	  25.5	 2.0	TY    Sct
277.84317	-12.92872	  38.8	 2.0	UZ    Sct
282.53850	-04.36811	  -9.6	 2.0	BX    Sct
280.25275	-06.09722	  -0.4	 1.0	CK    Sct
280.61175	-05.34083	  40.8	 2.0	CM    Sct
280.62704	-04.33069	  19.7	 2.0	CN    Sct
279.16500	-08.18483	  17.4	 0.5	EV    Sct
279.46296	-06.79681	      	    	EW    Sct
278.39683	-10.42722	      	    	V0367 Sct
275.61279	-10.12478	      	    	V0458 Sct
280.34067	-01.11119	 -44.3	 2.0	AA    Ser
279.06642	+04.39825	      	    	BQ    Ser
272.50887	-13.54597	   2.6	 0.6	CR    Ser
280.05396	-02.38428	      	    	DV    Ser
086.26317	+13.57636	   0.5	 1.0	ST    Tau
069.31158	+18.54303	  -0.5	 0.2	SZ    Tau
083.65275	+26.20239	      	    	AE    Tau
086.43712	+27.06792	      	    	AV    Tau
085.88250	+19.42000	      	    	EF    Tau
086.41887	+18.65689	  -1.0	 0.2	EU    Tau
229.94046	-66.49603	 -13.2	 1.0	R     TrA
240.29467	-63.77653	   3.9	 1.0	S     TrA
241.82921	-62.91056	      	    	U     TrA
232.70758	-65.59933	      	    	LR    TrA
037.95454	+89.26411	 -17.4	 2.0	alf   UMi
129.42012	-47.36197	   5.7	 1.0	T     Vel
140.56737	-55.96033	 -27.9	 1.0	V     Vel
155.17096	-55.32139	 -10.4	 1.0	RY    Vel
129.25542	-44.11467	  24.1	 1.0	RZ    Vel
131.23287	-50.56003	   7.4	 2.0	ST    Vel
161.23479	-56.28956	   3.5	 1.0	SV    Vel
130.91121	-47.40311	  22.9	 1.0	SW    Vel
131.22279	-46.34300	  30.9	 1.0	SX    Vel
159.03587	-56.04325	  15.0	 1.0	XX    Vel
154.96712	-56.30978	      	    	AB    Vel
144.21442	-53.03281	  14.8	 2.0	AE    Vel
122.99987	-46.64436	  24.2	 1.0	AH    Vel
128.90467	-47.75933	      	    	AM    Vel
129.94067	-43.86089	      	    	AP    Vel
122.70550	-47.69856	      	    	AX    Vel
137.06562	-51.43628	   7.9	 1.0	BG    Vel
127.45212	-41.22378	  51.6	 2.0	BH    Vel
125.52708	-47.30394	      	    	BQ    Vel
127.42217	-40.33394	      	    	CO    Vel
132.04367	-48.65917	  73.9	 2.0	CP    Vel
145.29275	-53.81606	  26.8	 2.0	CS    Vel
136.65875	-52.35747	  16.0	 2.0	CX    Vel
139.31967	-53.08486	      	    	DK    Vel
142.56600	-53.05869	      	    	DP    Vel
142.92071	-49.65500	  20.6	 1.0	DR    Vel
140.00633	-52.85617	  33.5	 2.0	EX    Vel
141.28079	-53.20986	  92.2	 2.0	EZ    Vel
143.34883	-52.75586	      	    	FG    Vel
147.17287	-55.51956	      	    	FN    Vel
297.09921	+27.28650	  -0.7	 0.2	S     Vul
312.86767	+28.25050	  -0.9	 1.0	T     Vul
294.15721	+20.33294	 -12.7	 0.1	U     Vul
299.36921	+26.55647	 -14.3	 0.1	X     Vul
297.87879	+27.46022	  -1.5	 0.1	SV    Vul
296.93529	+27.91822	      	    	AS    Vul
296.64662	+22.88978	   6.3	 0.7	BR    Vul
299.66737	+27.68375	   2.6	 1.0	DG    Vul
296.99167	+26.00006	      	    	GQ    Vul
136.14883	-46.55364	      	    	
137.38342	-53.98772	      	    	
139.02437	-54.30978	      	    	
139.33333	-62.04000	      	    	
139.88750	-51.62333	      	    	
141.99087	-52.31622	      	    	
142.72500	-55.78667	      	    	
144.92362	-49.52511	      	    	
147.11167	-58.01819	      	    	
152.05787	-58.94347	      	    	
152.30675	-57.24261	      	    	
152.56625	-58.18722	      	    	
152.65342	-58.29633	      	    	
152.68708	-50.15950	      	    	
153.90833	-59.55139	      	    	
155.04917	-59.00453	      	    	
156.49167	-59.94611	      	    	
160.37483	-59.94936	      	    	
160.75029	-61.52011	      	    	
170.16300	-61.83125	      	    	
174.19583	-60.49333	      	    	
177.33333	-66.01000	      	    	
179.25212	-62.31181	      	    	
185.66733	-62.15994	      	    	
186.29708	-61.34817	      	    	
189.07192	-63.29350	      	    	
194.75417	-68.57833	      	    	
219.22917	-58.26167	      	    	
226.44362	-58.38197	      	    	
230.08879	-58.12225	      	    	
232.96912	-59.24981	      	    	
239.69546	-53.69647	      	    	
243.97917	-51.12167	      	    	
247.04679	-51.19897	      	    	
250.33350	-47.66078	      	    	
263.22129	-35.91142	      	    	
266.51333	-35.46861	      	    	
264.69833	-33.07256	      	    	
269.08954	-27.63217	      	    	
265.28442	-23.47431	      	    	
270.92392	-22.18303	      	    	
273.06042	-20.48417	      	    	
275.27083	-18.45667	      	    	
278.52500	-15.31833	      	    	
276.80604	-15.11792	      	    	
279.70167	-13.41278	      	    	
279.76679	-10.82256	      	    	
273.56592	-09.33908	      	    	
279.21817	-09.11808	      	    	
278.44512	-04.80919	      	    	
138.08333	-55.23333	      	    	
140.70833	-51.86222	      	    	
142.52121	-51.62364	      	    	
147.08275	-57.81047	      	    	
159.11279	-62.19250	      	    	
198.50000	-62.49833	      	    	
209.77167	-58.78667	      	    	
211.92775	-63.25539	      	    	
081.77500	+16.93667	      	    	
092.57917	+24.02000	      	    	
092.59167	+14.64333	      	    	
092.61250	+02.13500	      	    	
095.20833	+00.04167	      	    	
096.85521	+01.19236	      	    	
096.89492	+09.83047	      	    	
097.16667	+07.64833	      	    	
097.41342	-18.67408	      	    	
097.54583	+07.85333	      	    	
100.15650	+11.72747	      	    	
100.39404	+07.94433	      	    	
100.46667	-01.33500	      	    	
100.54167	-12.66000	      	    	
100.58333	-03.31500	      	    	
101.39167	+07.81667	      	    	
101.86250	+04.19000	      	    	
102.12158	-10.23822	      	    	
103.26250	-14.41500	      	    	
104.49167	-15.35667	      	    	
104.49583	-01.99500	      	    	
104.71250	-13.73667	      	    	
105.97917	-17.88000	      	    	
106.48333	-13.39833	      	    	
106.65833	-15.80167	      	    	
107.13208	-14.90744	      	    	
107.25000	-12.47167	      	    	
107.29500	-12.28586	      	    	
108.15000	-27.84000	      	    	
108.42667	-17.62056	      	    	
109.27083	-28.82333	      	    	
109.70833	-32.64500	      	    	
109.92071	-23.53689	      	    	
111.10000	-07.85500	      	    	
111.42375	-19.89667	      	    	
112.12500	-30.65500	      	    	
112.16667	-29.34333	      	    	
112.80417	-28.18333	      	    	
112.99917	-25.48842	      	    	
113.56250	-28.62500	      	    	
113.72208	-26.85500	      	    	
113.75833	-35.91500	      	    	
114.08333	-28.66833	      	    	
115.17500	-30.71500	      	    	
116.00417	-17.13000	      	    	
116.00417	-30.14000	      	    	
116.05000	-17.08167	      	    	
116.11667	-24.29000	      	    	
116.85833	-19.37500	      	    	
117.25833	-19.11333	      	    	
117.35417	-38.24000	      	    	
118.43833	-36.97056	      	    	
118.49012	-28.36761	      	    	
118.76200	-26.23817	      	    	
119.45958	-29.39056	      	    	
119.66583	-33.50417	      	    	
119.80125	-26.69889	      	    	
120.11250	-33.32000	      	    	
121.25000	-28.86333	      	    	
121.29583	-34.36167	      	    	
122.09167	-32.37667	      	    	
122.36250	-33.26167	      	    	
122.55833	-32.89333	      	    	
122.60417	-38.47333	      	    	
122.60792	-32.52222	      	    	
122.98333	-39.32000	      	    	
125.32083	-38.75500	      	    	
125.36208	-38.42111	      	    	
127.24583	-36.23167	      	    	
127.87542	-44.48833	      	    	
128.60867	-35.98519	      	    	
129.04737	-39.06178	      	    	
129.78333	-37.37500	      	    	
130.36192	-43.89292	      	    	
130.76671	-51.29775	      	    	
131.05067	-35.47372	      	    	
132.46304	-46.45403	      	    	
132.70417	-39.44500	      	    	
128.64162	-41.57664	      	    	
115.92750	-20.83861	      	    	
122.88375	-28.35494	      	    	
088.22917	+18.01333	      	    	
101.47083	+10.06333	      	    	
092.38750	+14.15833	      	    	
098.82917	+21.29667	      	    	
172.17500	-59.43000	      	    	
105.14158	-02.34850	      	    	
119.67500	-25.60167	      	    	
081.54012	+11.85367	      	    	
189.51592	-38.52350	      	    	
210.42917	-46.84667	      	    	
110.57917	-15.74833	      	    	
199.30737	-66.08319	      	    	
215.94042	-58.49028	      	    	
288.46133	+02.85556	      	    	
289.32917	+07.96167	      	    	
289.97083	+17.24000	      	    	
290.02917	+12.79500	      	    	
290.79167	+13.85667	      	    	
293.02500	+11.54833	      	    	
293.64583	-19.36167	      	    	
316.40737	+20.08158	      	    	
105.87500	-15.54333	      	    	
110.81250	-29.72333	      	    	

