galaxy,stationary_role,sparc_ref_id,reference_resolved_in_cds_refs,author,bibcode,comment,provenance_scope
UGC07089,blind,SV98,1,Sanders and Verheijen,1998ApJ...503...97S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07125,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07125,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07151,blind,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07151,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07261,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07261,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07323,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07323,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07399,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07399,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07524,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07524,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07559,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07559,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07577,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07577,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07603,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07603,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07690,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07690,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07866,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC07866,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08286,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08286,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08490,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08490,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08550,blind,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08550,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08699,calibration,No07,1,Noordermeer et al.,2007MNRAS.376.1513N,,SPARC_Table1_column15_HI_Halpha_reference
UGC08699,calibration,No05,1,Noordermeer et al.,2005A&A...442..137N,Cat. J/A+A/442/137,SPARC_Table1_column15_HI_Halpha_reference
UGC08837,blind,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC08837,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC09037,calibration,Ha14,1,Hallenbeck et al.,2014AJ....148...69H,,SPARC_Table1_column15_HI_Halpha_reference
UGC09133,blind,No07,1,Noordermeer et al.,2007MNRAS.376.1513N,,SPARC_Table1_column15_HI_Halpha_reference
UGC09133,blind,No05,1,Noordermeer et al.,2005A&A...442..137N,Cat. J/A+A/442/137,SPARC_Table1_column15_HI_Halpha_reference
UGC09992,blind,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC09992,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC10310,blind,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC10310,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC11455,calibration,SG06,1,Spekkens and Giovanelli,2006AJ....132.1426S,,SPARC_Table1_column15_HI_Halpha_reference
UGC11557,blind,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC11557,blind,dB01,1,de Blok et al.,2001AJ....122.2396D,,SPARC_Table1_column15_HI_Halpha_reference
UGC11820,blind,KN08,1,Kuzio de Naray et al.,2008ApJ...676..920K,,SPARC_Table1_column15_HI_Halpha_reference
UGC11820,blind,vZ97,1,"van Zee, L.","1997, AJ, 113, 1618",,SPARC_Table1_column15_HI_Halpha_reference
UGC11914,blind,No07,1,Noordermeer et al.,2007MNRAS.376.1513N,,SPARC_Table1_column15_HI_Halpha_reference
UGC11914,blind,No05,1,Noordermeer et al.,2005A&A...442..137N,Cat. J/A+A/442/137,SPARC_Table1_column15_HI_Halpha_reference
UGC12506,calibration,Ha14,1,Hallenbeck et al.,2014AJ....148...69H,,SPARC_Table1_column15_HI_Halpha_reference
UGC12632,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC12632,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGC12732,calibration,Sw09,1,Swaters et al.,2009A&A...493..871S,,SPARC_Table1_column15_HI_Halpha_reference
UGC12732,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
UGCA442,blind,Co00,1,Cote et al.,2000AJ....120.3027C,,SPARC_Table1_column15_HI_Halpha_reference
UGCA444,blind,Ke07,1,Kepley et al.,2007AJ....133.2242K,,SPARC_Table1_column15_HI_Halpha_reference
